Movie_ID,Year,Rank,Title,Description,Duration,Genre,Rating,Metascore,Votes,Gross_Earning_in_Mil,Director,Actor
1,2008,1,The Dark Knight,"    When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152,Action,9,84,2032706,534.8,Christopher Nolan,Christian Bale
2,2008,2,Iron Man,"    After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",126,Action,7.9,79,840791,318.4,Jon Favreau,Robert Downey Jr.
3,2008,3,Bedtime Stories,    A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.,99,Comedy,6.1,33,81577,110.1,Adam Shankman,Adam Sandler
4,2008,4,The Incredible Hulk,"    Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into, whenever he loses his temper.",112,Action,6.8,61,390698,134.5,Louis Leterrier,Edward Norton
5,2008,5,The Spiderwick Chronicles,"    Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",96,Action,6.6,62,80597,71.2,Mark Waters,Freddie Highmore
6,2008,6,Twilight,"    Bella Swan moves to Forks and encounters Edward Cullen, a gorgeous boy with a secret.",122,Drama,5.2,56,390466,191.4,Catherine Hardwicke,Kristen Stewart
7,2008,7,Forgetting Sarah Marshall,"    Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",111,Comedy,7.2,67,245733,63.17,Nicholas Stoller,Kristen Bell
8,2008,8,Mamma Mia!,    The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,108,Comedy,6.4,51,189727,144.1,Phyllida Lloyd,Meryl Streep
9,2008,9,The Other Boleyn Girl,    Two sisters contend for the affection of King Henry VIII.,115,Biography,6.7,50,95970,26.81,Justin Chadwick,Natalie Portman
10,2008,10,Hellboy II: The Golden Army,"    The mythical world starts a rebellion against humanity in order to rule the Earth, so Hellboy and his team must save the world from the rebellious creatures.",120,Action,7,78,237225,75.75,Guillermo del Toro,Ron Perlman
11,2008,11,The Hurt Locker,"    During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",131,Drama,7.6,94,388789,17.02,Kathryn Bigelow,Jeremy Renner
12,2008,12,The Boy in the Striped Pajamas,"    Set during WWII, a story seen through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, whose forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",94,Drama,7.8,55,167829,9.03,Mark Herman,Asa Butterfield
13,2008,13,The Curious Case of Benjamin Button,"    Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",166,Drama,7.8,70,533963,127.5,David Fincher,Brad Pitt
14,2008,14,Quantum of Solace,    James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource.,106,Action,6.6,58,374696,168.3,Marc Forster,Daniel Craig
15,2008,15,Sex and the City,    A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,145,Comedy,5.6,53,109469,152.6,Michael Patrick King,Sarah Jessica Parker
16,2008,16,The House Bunny,"    After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",97,Comedy,5.5,55,72917,48.24,Fred Wolf,Anna Faris
