,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
0,Christian Bale,1/30/74,"Haverfordwest, Pembrokeshire, Wales, UK","['The Dark Knight', 'Batman Begins', 'American Hustle', 'Vice']",75,114,https://www.imdb.com/name/nm0000288/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000288/awards?ref_=nm_ql_2
1,Robert Downey Jr.,4/4/65,"Manhattan, New York City, New York, USA","['Iron Man', 'Sherlock Holmes', 'Iron Man Three', 'The Avengers']",37,106,https://www.imdb.com/name/nm0000375/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000375/awards?ref_=nm_ql_2
2,Edward Norton,8/18/69,"Boston, Massachusetts, USA","['Keeping the Faith', 'American History X', 'Primal Fear', 'Birdman or (The Unexpected Virtue of Ignorance)']",46,81,https://www.imdb.com/name/nm0001570/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001570/awards?ref_=nm_ql_2
3,Kristen Stewart,4/9/90,"Los Angeles, California, USA","['Snow White and the Huntsman', 'The Twilight Saga: Breaking Dawn - Part 2', 'The Twilight Saga: Breaking Dawn - Part 1', 'The Twilight Saga: New Moon']",48,67,https://www.imdb.com/name/nm0829576/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0829576/awards?ref_=nm_ql_2
4,Meryl Streep,6/22/49,"Summit, New Jersey, USA","['Out of Africa', 'The Devil Wears Prada', 'Doubt', ""Sophie's Choice""]",175,357,https://www.imdb.com/name/nm0000658/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000658/awards?ref_=nm_ql_2
5,America Ferrera,4/18/84,"Los Angeles, California, USA","['The Sisterhood of the Traveling Pants', 'How to Train Your Dragon', 'Ugly Betty', 'How to Train Your Dragon 2']",22,38,https://www.imdb.com/name/nm1065229/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1065229/awards?ref_=nm_ql_2
6,Ron Perlman,4/13/50,"New York City, New York, USA","['Hand of God', 'Hellboy II: The Golden Army', 'Hellboy', 'Beauty and the Beast']",8,11,https://www.imdb.com/name/nm0000579/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000579/awards?ref_=nm_ql_2
7,Seth Rogen,4/15/82,"Vancouver, British Columbia, Canada","['This Is the End', 'Superbad', 'Pineapple Express', 'Knocked Up']",12,34,https://www.imdb.com/name/nm0736622/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0736622/awards?ref_=nm_ql_2
8,Ben Stiller,11/30/65,"New York City, New York, USA","['Tropic Thunder', 'Zoolander', 'The Secret Life of Walter Mitty', ""There's Something About Mary""]",14,58,https://www.imdb.com/name/nm0001774/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001774/awards?ref_=nm_ql_2
9,Adam Sandler,9/9/66,"Brooklyn, New York City, New York, USA","['The Waterboy', 'Little Nicky', 'Big Daddy', 'The Wedding Singer']",54,77,https://www.imdb.com/name/nm0001191/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001191/awards?ref_=nm_ql_2
10,Kristen Bell,7/18/80,"Huntington Woods, Michigan, USA","['Frozen', 'Veronica Mars', 'Forgetting Sarah Marshall', 'Veronica Mars']",12,41,https://www.imdb.com/name/nm0068338/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0068338/awards?ref_=nm_ql_2
11,Brad Pitt,12/18/63,"Shawnee, Oklahoma, USA","['Mr. & Mrs. Smith', 'Moneyball', 'Twelve Monkeys', 'Inglourious Basterds']",67,152,https://www.imdb.com/name/nm0000093/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000093/awards?ref_=nm_ql_2
12,Angelina Jolie,6/4/75,"Los Angeles, California, USA","['Maleficent', 'Girl, Interrupted', 'Changeling', 'Salt']",56,111,https://www.imdb.com/name/nm0001401/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001401/awards?ref_=nm_ql_2
13,Asa Butterfield,4/1/97,"Islington, London, England, UK","['Hugo', ""Ender's Game"", 'The Boy in the Striped Pajamas', 'The Space Between Us']",5,17,https://www.imdb.com/name/nm2633535/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2633535/awards?ref_=nm_ql_2
14,Morjana Alaoui,1983-0-0,NA,"['Martyrs', 'Broken', 'Forces spéciales', 'Marock']",1,0,https://www.imdb.com/name/nm1662011/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1662011/awards?ref_=nm_ql_2
15,Daniel Craig,3/2/68,"Chester, Cheshire, England, UK","['Casino Royale', 'Skyfall', 'Spectre', 'Quantum of Solace']",14,31,https://www.imdb.com/name/nm0185819/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0185819/awards?ref_=nm_ql_2
16,Kate Winslet,10/5/75,"Reading, Berkshire, England, UK","['Eternal Sunshine of the Spotless Mind', 'Titanic', 'Revolutionary Road', 'Sense and Sensibility']",87,155,https://www.imdb.com/name/nm0000701/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000701/awards?ref_=nm_ql_2
17,Jeremy Renner,1/7/71,"Modesto, California, USA","['The Hurt Locker', 'The Town', 'The Avengers', 'Wind River']",34,59,https://www.imdb.com/name/nm0719637/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0719637/awards?ref_=nm_ql_2
18,Clint Eastwood,5/31/30,"San Francisco, California, USA","['Million Dollar Baby', 'Unforgiven', 'Gran Torino', 'The Bridges of Madison County']",149,159,https://www.imdb.com/name/nm0000142/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000142/awards?ref_=nm_ql_2
