	movie	year	runtime	genre	imdb	metascore	votes	gross	director	dr_link	star1	st1_link	star2	st2_link
0	The Dark Knight	(2008)	152 min	"
Action, Crime, Drama            "	9.0	84	2037963	$534.86M	Christopher Nolan	/name/nm0634240/?ref_=adv_li_dr_0	Christian Bale	/name/nm0000288/?ref_=adv_li_st_0	Heath Ledger	/name/nm0005132/?ref_=adv_li_st_1
1	Iron Man	(2008)	126 min	"
Action, Adventure, Sci-Fi            "	7.9	79	843878	$318.41M	Jon Favreau	/name/nm0269463/?ref_=adv_li_dr_0	Robert Downey Jr.	/name/nm0000375/?ref_=adv_li_st_0	Gwyneth Paltrow	/name/nm0000569/?ref_=adv_li_st_1
2	The Incredible Hulk	(2008)	112 min	"
Action, Adventure, Sci-Fi            "	6.7	61	392537	$134.52M	Louis Leterrier	/name/nm0504642/?ref_=adv_li_dr_0	Edward Norton	/name/nm0001570/?ref_=adv_li_st_0	Liv Tyler	/name/nm0000239/?ref_=adv_li_st_1
3	Twilight	(I) (2008)	122 min	"
Drama, Fantasy, Romance            "	5.2	56	391258	$191.47M	Catherine Hardwicke	/name/nm0362566/?ref_=adv_li_dr_0	Kristen Stewart	/name/nm0829576/?ref_=adv_li_st_0	Robert Pattinson	/name/nm1500155/?ref_=adv_li_st_1
4	Mamma Mia!	(2008)	108 min	"
Comedy, Musical, Romance            "	6.4	51	190439	$144.13M	Phyllida Lloyd	/name/nm1630273/?ref_=adv_li_dr_0	Meryl Streep	/name/nm0000658/?ref_=adv_li_st_0	Pierce Brosnan	/name/nm0000112/?ref_=adv_li_st_1
5	The Sisterhood of the Traveling Pants 2	(2008)	119 min	"
Comedy, Drama, Romance            "	6.2	63	25196	$44.09M	Sanaa Hamri	/name/nm1065402/?ref_=adv_li_dr_0	America Ferrera	/name/nm1065229/?ref_=adv_li_st_0	Alexis Bledel	/name/nm0088127/?ref_=adv_li_st_1
6	Hellboy II: The Golden Army	(2008)	120 min	"
Action, Adventure, Fantasy            "	7.0	78	237875	$75.75M	Guillermo del Toro	/name/nm0868219/?ref_=adv_li_dr_0	Ron Perlman	/name/nm0000579/?ref_=adv_li_st_0	Selma Blair	/name/nm0004757/?ref_=adv_li_st_1
7	Pineapple Express	(2008)	111 min	"
Action, Comedy, Crime            "	7.0	64	291110	$87.34M	David Gordon Green	/name/nm0337773/?ref_=adv_li_dr_0	Seth Rogen	/name/nm0736622/?ref_=adv_li_st_0	James Franco	/name/nm0290556/?ref_=adv_li_st_1
8	Tropic Thunder	(2008)	107 min	"
Action, Adventure, Comedy            "	7.0	71	349218	$110.52M	Ben Stiller	/name/nm0001774/?ref_=adv_li_dr_0	Ben Stiller	/name/nm0001774/?ref_=adv_li_st_0	Jack Black	/name/nm0085312/?ref_=adv_li_st_1
9	Bedtime Stories	(2008)	99 min	"
Comedy, Family, Fantasy            "	6.1	33	81791	$110.10M	Adam Shankman	/name/nm0788202/?ref_=adv_li_dr_0	Adam Sandler	/name/nm0001191/?ref_=adv_li_st_0	Keri Russell	/name/nm0005392/?ref_=adv_li_st_1
10	Forgetting Sarah Marshall	(2008)	111 min	"
Comedy, Drama, Romance            "	7.2	67	246378	$63.17M	Nicholas Stoller	/name/nm0831557/?ref_=adv_li_dr_0	Kristen Bell	/name/nm0068338/?ref_=adv_li_st_0	Jason Segel	/name/nm0781981/?ref_=adv_li_st_1
11	The Curious Case of Benjamin Button	(2008)	166 min	"
Drama, Fantasy, Romance            "	7.8	70	535007	$127.51M	David Fincher	/name/nm0000399/?ref_=adv_li_dr_0	Brad Pitt	/name/nm0000093/?ref_=adv_li_st_0	Cate Blanchett	/name/nm0000949/?ref_=adv_li_st_1
12	Wanted	(2008)	110 min	"
Action, Crime, Fantasy            "	6.7	64	337786	$134.51M	Timur Bekmambetov	/name/nm0067457/?ref_=adv_li_dr_0	Angelina Jolie	/name/nm0001401/?ref_=adv_li_st_0	James McAvoy	/name/nm0564215/?ref_=adv_li_st_1
13	The Boy in the Striped Pajamas	(2008)	94 min	"
Drama, War            "	7.8	55	168427	$9.03M	Mark Herman	/name/nm0379179/?ref_=adv_li_dr_0	Asa Butterfield	/name/nm2633535/?ref_=adv_li_st_0	David Thewlis	/name/nm0000667/?ref_=adv_li_st_1
14	Martyrs	(2008)	99 min	"
Horror            "	7.1	NA	73775	NA	Pascal Laugier	/name/nm1052791/?ref_=adv_li_dr_0	Morjana Alaoui	/name/nm1662011/?ref_=adv_li_st_0	Mylène Jampanoï	/name/nm1227864/?ref_=adv_li_st_1
15	Quantum of Solace	(2008)	106 min	"
Action, Adventure, Thriller            "	6.6	58	375287	$168.37M	Marc Forster	/name/nm0286975/?ref_=adv_li_dr_0	Daniel Craig	/name/nm0185819/?ref_=adv_li_st_0	Olga Kurylenko	/name/nm1385871/?ref_=adv_li_st_1
16	The Reader	(2008)	124 min	"
Drama, Romance            "	7.6	58	216751	$34.19M	Stephen Daldry	/name/nm0197636/?ref_=adv_li_dr_0	Kate Winslet	/name/nm0000701/?ref_=adv_li_st_0	Ralph Fiennes	/name/nm0000146/?ref_=adv_li_st_1
17	The Hurt Locker	(2008)	131 min	"
Drama, Thriller, War            "	7.6	94	389501	$17.02M	Kathryn Bigelow	/name/nm0000941/?ref_=adv_li_dr_0	Jeremy Renner	/name/nm0719637/?ref_=adv_li_st_0	Anthony Mackie	/name/nm1107001/?ref_=adv_li_st_1
18	Gran Torino	(2008)	116 min	"
Drama            "	8.1	72	664696	$148.10M	Clint Eastwood	/name/nm0000142/?ref_=adv_li_dr_0	Clint Eastwood	/name/nm0000142/?ref_=adv_li_st_0	Bee Vang	/name/nm3057402/?ref_=adv_li_st_1
19	Slumdog Millionaire	(2008)	120 min	"
Drama, Romance            "	8.0	86	742085	$141.32M	Danny Boyle	/name/nm0000965/?ref_=adv_li_dr_0	Dev Patel	/name/nm2353862/?ref_=adv_li_st_0	Freida Pinto	/name/nm2951768/?ref_=adv_li_st_1
20	In Bruges	(2008)	107 min	"
Comedy, Crime, Drama            "	7.9	67	358956	$7.76M	Martin McDonagh	/name/nm1732981/?ref_=adv_li_dr_0	Colin Farrell	/name/nm0268199/?ref_=adv_li_st_0	Brendan Gleeson	/name/nm0322407/?ref_=adv_li_st_1
21	Body of Lies	(2008)	128 min	"
Action, Drama, Thriller            "	7.1	57	198205	$39.39M	Ridley Scott	/name/nm0000631/?ref_=adv_li_dr_0	Leonardo DiCaprio	/name/nm0000138/?ref_=adv_li_st_0	Russell Crowe	/name/nm0000128/?ref_=adv_li_st_1
22	Taken	(I) (2008)	94 min	"
Action, Thriller            "	7.8	51	535865	$145.00M	Pierre Morel	/name/nm0603628/?ref_=adv_li_dr_0	Liam Neeson	/name/nm0000553/?ref_=adv_li_st_0	Maggie Grace	/name/nm1192254/?ref_=adv_li_st_1
23	Step Brothers	(2008)	98 min	"
Comedy            "	6.9	51	244832	$100.47M	Adam McKay	/name/nm0570912/?ref_=adv_li_dr_0	Will Ferrell	/name/nm0002071/?ref_=adv_li_st_0	John C. Reilly	/name/nm0000604/?ref_=adv_li_st_1
24	WALL·E	(2008)	98 min	"
Animation, Adventure, Family            "	8.4	95	895023	$223.81M	Andrew Stanton	/name/nm0004056/?ref_=adv_li_dr_0	Ben Burtt	/name/nm0123785/?ref_=adv_li_st_0	Elissa Knight	/name/nm2264184/?ref_=adv_li_st_1
25	The Other Boleyn Girl	(2008)	115 min	"
Biography, Drama, History            "	6.7	50	96256	$26.81M	Justin Chadwick	/name/nm0149491/?ref_=adv_li_dr_0	Natalie Portman	/name/nm0000204/?ref_=adv_li_st_0	Scarlett Johansson	/name/nm0424060/?ref_=adv_li_st_1
26	Revolutionary Road	(2008)	119 min	"
Drama, Romance            "	7.3	69	176888	$22.91M	Sam Mendes	/name/nm0005222/?ref_=adv_li_dr_0	Leonardo DiCaprio	/name/nm0000138/?ref_=adv_li_st_0	Kate Winslet	/name/nm0000701/?ref_=adv_li_st_1
27	Sex Drive	(2008)	109 min	"
Adventure, Comedy, Romance            "	6.5	49	79447	$8.40M	Sean Anders	/name/nm1890845/?ref_=adv_li_dr_0	Josh Zuckerman	/name/nm0958430/?ref_=adv_li_st_0	Clark Duke	/name/nm0241173/?ref_=adv_li_st_1
28	The Spiderwick Chronicles	(2008)	96 min	"
Action, Adventure, Drama            "	6.6	62	80815	$71.20M	Mark Waters	/name/nm0914134/?ref_=adv_li_dr_0	Freddie Highmore	/name/nm0383603/?ref_=adv_li_st_0	Sarah Bolger	/name/nm0092961/?ref_=adv_li_st_1
29	The Strangers	(2008)	86 min	"
Horror, Mystery, Thriller            "	6.2	47	109693	$52.60M	Bryan Bertino	/name/nm1052162/?ref_=adv_li_dr_0	Scott Speedman	/name/nm0005454/?ref_=adv_li_st_0	Liv Tyler	/name/nm0000239/?ref_=adv_li_st_1
30	The Mummy: Tomb of the Dragon Emperor	(2008)	112 min	"
Action, Adventure, Fantasy            "	5.2	31	139789	$102.49M	Rob Cohen	/name/nm0003418/?ref_=adv_li_dr_0	Brendan Fraser	/name/nm0000409/?ref_=adv_li_st_0	Jet Li	/name/nm0001472/?ref_=adv_li_st_1
