	dr_name	dr_date	dr_place	dr_knownfor	dr_awards_wins	dr_awards_nominations	dr_link	dr_awards_link
0	" Christopher Nolan
(I)
"	1970-7-30	London, England, UK	['Interstellar', 'Dunkirk', 'Inception', 'Following']	136	222	https://www.imdb.com/name/nm0634240/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0634240/awards?ref_=nm_ql_2
1	" Jon Favreau
(I)
"	1966-10-19	Queens, New York City, New York, USA	['Chef', 'Swingers', 'Iron Man', 'Couples Retreat']	6	11	https://www.imdb.com/name/nm0269463/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0269463/awards?ref_=nm_ql_2
2	" Louis Leterrier
"	1973-6-17	Paris, France	['The Incredible Hulk', 'The Transporter', 'The Brothers Grimsby', 'Now You See Me']	NA	NA	https://www.imdb.com/name/nm0504642/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0504642/awards?ref_=nm_ql_2
3	" Catherine Hardwicke
"	1955-10-21	Cameron, Texas, USA	['Twilight', 'Thirteen', 'Lords of Dogtown', 'Miss Bala']	10	13	https://www.imdb.com/name/nm0362566/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0362566/awards?ref_=nm_ql_2
4	" Phyllida Lloyd
"	1957-6-17	Bristol, England, UK	['Mamma Mia!', 'The Iron Lady', 'Mamma Mia! Here We Go Again', 'Gloriana']	2	3	https://www.imdb.com/name/nm1630273/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1630273/awards?ref_=nm_ql_2
5	" Sanaa Hamri
"	NA	NA	['Empire', 'Something New', 'Just Wright', 'The Sisterhood of the Traveling Pants 2']	0	5	https://www.imdb.com/name/nm1065402/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1065402/awards?ref_=nm_ql_2
6	" Guillermo del Toro
"	1964-10-9	Guadalajara, Jalisco, Mexico	"[""Pan's Labyrinth"", 'Hellboy', 'The Shape of Water', 'Pacific Rim']"	94	121	https://www.imdb.com/name/nm0868219/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0868219/awards?ref_=nm_ql_2
7	" David Gordon Green
"	1975-4-9	Little Rock, Arkansas, USA	['Halloween', 'Prince Avalanche', 'Joe', 'George Washington']	14	40	https://www.imdb.com/name/nm0337773/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0337773/awards?ref_=nm_ql_2
8	" Ben Stiller
"	1965-11-30	New York City, New York, USA	"['Tropic Thunder', 'Zoolander', 'The Secret Life of Walter Mitty', ""There's Something About Mary""]"	14	58	https://www.imdb.com/name/nm0001774/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0001774/awards?ref_=nm_ql_2
9	" Adam Shankman
(I)
"	1964-11-27	Los Angeles, California, USA	['Hairspray', 'A Walk to Remember', 'Cheaper by the Dozen 2', 'The Pacifier']	3	5	https://www.imdb.com/name/nm0788202/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0788202/awards?ref_=nm_ql_2
10	" Nicholas Stoller
"	1976-3-19	NA	['The Muppets', 'Storks', 'Muppets Most Wanted', 'Neighbors 2: Sorority Rising']	2	8	https://www.imdb.com/name/nm0831557/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0831557/awards?ref_=nm_ql_2
11	" David Fincher
"	1962-8-28	Denver, Colorado, USA	['Se7en', 'Gone Girl', 'The Social Network', 'Zodiac']	65	112	https://www.imdb.com/name/nm0000399/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000399/awards?ref_=nm_ql_2
12	" Timur Bekmambetov
"	1961-6-25	Guryev, Kazakh SSR, USSR [now Atyrau, Kazakhstan]	['Nochnoy dozor', 'Ben-Hur', 'Profile', '9']	9	17	https://www.imdb.com/name/nm0067457/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0067457/awards?ref_=nm_ql_2
13	" Mark Herman
(I)
"	1954-0-0	NA	['The Boy in the Striped Pajamas', 'Brassed Off', 'Purely Belter', 'Little Voice']	18	13	https://www.imdb.com/name/nm0379179/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0379179/awards?ref_=nm_ql_2
14	" Pascal Laugier
"	NA	NA	['Martyrs', 'Incident in a Ghostland', 'The Tall Man', 'Brotherhood of the Wolf']	8	8	https://www.imdb.com/name/nm1052791/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1052791/awards?ref_=nm_ql_2
15	" Marc Forster
(I)
"	1969-11-30	Illertissen, Bavaria, Germany	"['World War Z', 'Finding Neverland', 'The Kite Runner', ""Monster's Ball""]"	6	14	https://www.imdb.com/name/nm0286975/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0286975/awards?ref_=nm_ql_2
16	" Stephen Daldry
"	1960-5-2	Dorset, England, UK	['The Hours', 'The Reader', 'Billy Elliot', 'Extremely Loud & Incredibly Close']	39	44	https://www.imdb.com/name/nm0197636/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0197636/awards?ref_=nm_ql_2
17	" Kathryn Bigelow
"	1951-11-27	San Carlos, California, USA	['The Hurt Locker', 'Zero Dark Thirty', 'Near Dark', 'Strange Days']	83	61	https://www.imdb.com/name/nm0000941/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000941/awards?ref_=nm_ql_2
18	" Clint Eastwood
"	1930-5-31	San Francisco, California, USA	['Million Dollar Baby', 'Unforgiven', 'Gran Torino', 'The Bridges of Madison County']	149	159	https://www.imdb.com/name/nm0000142/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000142/awards?ref_=nm_ql_2
19	" Danny Boyle
"	1956-10-20	Manchester, England, UK	['127 Hours', '28 Days Later...', 'Slumdog Millionaire', 'Shallow Grave']	83	83	https://www.imdb.com/name/nm0000965/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000965/awards?ref_=nm_ql_2
20	" Martin McDonagh
"	1970-3-26	Camberwell, London, England, UK	['Three Billboards Outside Ebbing, Missouri', 'In Bruges', 'Seven Psychopaths', 'Six Shooter']	49	95	https://www.imdb.com/name/nm1732981/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1732981/awards?ref_=nm_ql_2
21	" Ridley Scott
"	1937-11-30	South Shields, County Durham, England, UK	['The Martian', 'Thelma & Louise', 'Blade Runner', 'Gladiator']	43	94	https://www.imdb.com/name/nm0000631/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000631/awards?ref_=nm_ql_2
22	" Pierre Morel
(I)
"	1964-5-12	France	['District B13', 'Taken', 'The Gunman', 'Peppermint']	NA	NA	https://www.imdb.com/name/nm0603628/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0603628/awards?ref_=nm_ql_2
23	" Adam McKay
(I)
"	1968-4-17	Philadelphia, Pennsylvania, USA	['The Other Guys', 'Vice', 'The Big Short', 'Ant-Man']	28	55	https://www.imdb.com/name/nm0570912/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0570912/awards?ref_=nm_ql_2
24	" Andrew Stanton
(I)
"	1965-12-3	Boston, Massachusetts, USA	"['WALL·E', 'Finding Nemo', 'Finding Dory', ""A Bug's Life""]"	34	64	https://www.imdb.com/name/nm0004056/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0004056/awards?ref_=nm_ql_2
25	" Justin Chadwick
(I)
"	1968-12-1	Manchester, Lancashire, England, UK	['Mandela: Long Walk to Freedom', 'The First Grader', 'Bleak House', 'Tulip Fever']	17	10	https://www.imdb.com/name/nm0149491/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0149491/awards?ref_=nm_ql_2
26	" Sam Mendes
(I)
"	1965-8-1	Reading, Berkshire, England, UK	['Skyfall', 'Road to Perdition', 'Revolutionary Road', 'American Beauty']	39	29	https://www.imdb.com/name/nm0005222/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0005222/awards?ref_=nm_ql_2
