	dr_link	st1_link	st2_link
0	/name/nm0634240/?ref_=adv_li_dr_0	/name/nm0000288/?ref_=adv_li_st_0	/name/nm0005132/?ref_=adv_li_st_1
1	/name/nm0269463/?ref_=adv_li_dr_0	/name/nm0000375/?ref_=adv_li_st_0	/name/nm0000569/?ref_=adv_li_st_1
2	/name/nm0504642/?ref_=adv_li_dr_0	/name/nm0001570/?ref_=adv_li_st_0	/name/nm0000239/?ref_=adv_li_st_1
3	/name/nm0362566/?ref_=adv_li_dr_0	/name/nm0829576/?ref_=adv_li_st_0	/name/nm1500155/?ref_=adv_li_st_1
4	/name/nm1630273/?ref_=adv_li_dr_0	/name/nm0000658/?ref_=adv_li_st_0	/name/nm0000112/?ref_=adv_li_st_1
5	/name/nm1065402/?ref_=adv_li_dr_0	/name/nm1065229/?ref_=adv_li_st_0	/name/nm0088127/?ref_=adv_li_st_1
6	/name/nm0868219/?ref_=adv_li_dr_0	/name/nm0000579/?ref_=adv_li_st_0	/name/nm0004757/?ref_=adv_li_st_1
7	/name/nm0337773/?ref_=adv_li_dr_0	/name/nm0736622/?ref_=adv_li_st_0	/name/nm0290556/?ref_=adv_li_st_1
8	/name/nm0001774/?ref_=adv_li_dr_0	/name/nm0001774/?ref_=adv_li_st_0	/name/nm0085312/?ref_=adv_li_st_1
9	/name/nm0788202/?ref_=adv_li_dr_0	/name/nm0001191/?ref_=adv_li_st_0	/name/nm0005392/?ref_=adv_li_st_1
10	/name/nm0831557/?ref_=adv_li_dr_0	/name/nm0068338/?ref_=adv_li_st_0	/name/nm0781981/?ref_=adv_li_st_1
11	/name/nm0000399/?ref_=adv_li_dr_0	/name/nm0000093/?ref_=adv_li_st_0	/name/nm0000949/?ref_=adv_li_st_1
12	/name/nm0067457/?ref_=adv_li_dr_0	/name/nm0001401/?ref_=adv_li_st_0	/name/nm0564215/?ref_=adv_li_st_1
13	/name/nm0379179/?ref_=adv_li_dr_0	/name/nm2633535/?ref_=adv_li_st_0	/name/nm0000667/?ref_=adv_li_st_1
14	/name/nm1052791/?ref_=adv_li_dr_0	/name/nm1662011/?ref_=adv_li_st_0	/name/nm1227864/?ref_=adv_li_st_1
15	/name/nm0286975/?ref_=adv_li_dr_0	/name/nm0185819/?ref_=adv_li_st_0	/name/nm1385871/?ref_=adv_li_st_1
